VIN,Selling Dealership,Vehicle,Floor Price,Orig. Closing Price
WBA3T3C50EJ876806,Carmel Motors,2014 BMW 4-Series 435i,"$16,000",$0
1N4AA5AP6AC846973,Tom Wood Nissan,2010 Nissan Maxima SV,"$1,800",$0
1G2ZG57B294155635,Tom Wood Nissan,2009 Pontiac G6 Base,"$1,500",$550
ZACCJAAT5GPD40354,Andy Mohr Chevrolet Inc.,2016 Jeep Renegade Sport,"$6,650",$0
JTEBU4BF4AK088557,Carmel Motors,2010 Toyota FJ Cruiser Base,"$12,800",$0
1GYS3MKJ0FR633724,Carmel Motors,2015 Cadillac Escalade Luxury,"$16,500",$0
SALEJ6RX6M2045520,Bill Estes Toyota,2021 Land Rover Defender 90 S,"$42,500","$40,100"
WA1WKAFP8CA102914,Fishers Imports,2012 Audi Q5 Prestige,"$6,000",$0
4JGFF5KE8RB145041,Bentley Indianapolis,2024 Mercedes-Benz GLS GLS 450,"$79,990",$0
55SWF8EB0LU323258,Fishers Imports,2020 Mercedes-Benz C-Class C 300 4MATIC,"$22,500","$19,700"
1FTEW1EG8HFC38963,Claremont Chrysler Dodge Jeep Ram,2017 Ford F-150 XLT,"$15,250","$12,900"
KM8R74HE2MU288110,Bob Rohrman Hyundai,2021 Hyundai PALISADE Calligraphy,"$35,000","$31,400"
1GNEV33D99S150401,BYRIDER - GREENWOOD,2009 Chevrolet Traverse LTZ,"$1,800",$750
KMHL64JA6PA282252,Bob Rohrman Hyundai,2023 Hyundai SONATA SEL,"$23,000","$20,100"
3GNKBJRS4KS615859,Hobson Chrysler Dodge Jeep Ram,2019 Chevrolet Blazer RS,"$17,500",$0
3C6UR5NL8LG117937,York Chrysler Dodge Jeep Ram of Brazil,2020 Ram 2500 Laramie,"$52,000","$49,200"
3VWM17AU1KM517300,Hobson Ford Lincoln Inc,2019 Volkswagen Golf Alltrack TSI SE 4Motion,"$17,500","$15,000"
1FMCU0GX6EUD49891,Noblesville Imports,2014 Ford Escape SE,"$4,000",$0
WDD5J4HB6LN069739,Bentley Indianapolis,2020 Mercedes-Benz CLA CLA250,"$27,500","$24,400"
19UDE4G70PA001281,A2Z Autos,2023 Acura Integra w/Tech w/A-SPEC,"$28,500",$0
4JGFF5KE0LA151770,A2Z Autos,2020 Mercedes-Benz GLS GLS 450,"$38,000",$0
WMWRF33445TG11922,ABA Auto Sales and Service,2005 Mini Cooper Base,"$2,500",$0
JTEHH20V516002744,ABA Auto Sales and Service,2001 Toyota RAV4 Base,"$2,900",$0
4T1BF28B54U342885,Ricart Used Car Factory,2004 Toyota Avalon XLS,"$3,100","$2,500"
1G3WS52H3XF374839,Ricart Used Car Factory,1999 Oldsmobile Intrigue GL,"$5,000",$0
1N4AL24E38C209147,Ricart Used Car Factory,2008 Nissan Altima S,$800,$150
5XYP6DHCXMG108855,Ricart Used Car Factory,2021 Kia Telluride S,"$17,500",$0
2GNALCEK5H6162143,Ricart Used Car Factory,2017 Chevrolet Equinox LT,"$4,750","$4,050"
2FMPK4K98KBB12487,Ricart Used Car Factory,2019 Ford Edge Titanium,"$10,000","$7,900"
3FA6P0D96KR105519,Ricart Used Car Factory,2019 Ford Fusion Titanium,"$9,000",$0
MAJ6S3GL3MC398577,Ricart Used Car Factory,2021 Ford EcoSport SE,"$10,000","$7,850"
1GNERKKW5JJ105872,Bentley Indianapolis,2018 Chevrolet Traverse,"$19,490","$18,900"
JN8AZ2NE0F9083027,Bentley Indianapolis,2015 INFINITI QX80,"$13,990",$0
1N4AA6AP2HC410265,Bentley Indianapolis,2017 Nissan Maxima,"$8,990","$7,300"
WP0CA29833U621079,Bentley Indianapolis,2003 Porsche Boxster Base,"$14,990",$0
W1K5J4HB9LN120747,Bentley Indianapolis,2020 Mercedes-Benz CLA CLA 250 4MATIC,"$28,990","$27,200"
JTJHZKFAXN2037652,Bentley Indianapolis,2022 Lexus RX 350L Base,"$43,490","$39,400"
WP0AD2A92RS252092,Bentley Indianapolis,2024 Porsche 911 Turbo S,"$254,990",$0
SAJWJ6DL8GMK30842,Bentley Indianapolis,2016 Jaguar F-Type R,"$43,990",$0
2HGFC2F80KH511637,Bentley Indianapolis,2019 Honda Civic Sport,"$15,990","$13,600"
SAJWA4EC4CMB48381,Bentley Indianapolis,2012 Jaguar XK XKR,"$19,490",$0
1FDXE45S02HB32676,Bentley Indianapolis,2002 Ford Commercial Vans E450,"$7,990",$0
1FTFW1R60EFD13561,Bentley Indianapolis,2014 Ford F-150 SVT Raptor,$1,"$15,900"
4JGFF5KE8RB145041,Bentley Indianapolis,2024 Mercedes-Benz GLS GLS 450,"$79,990",$0
WDD5J4HB6LN069739,Bentley Indianapolis,2020 Mercedes-Benz CLA CLA250,"$27,500","$24,400"
JTJHY7AX4E4154207,Bentley Indianapolis,2014 Lexus LX 570 Base,"$24,300","$22,750"
